,Car Name,Model,Price ($),Fuel Type,Mileage,Transmission,Location,Image Name,Image URI
23,2018 INFINITI Q50 3.0t Sedan,Q50,"25,845",Gasoline,"52,699",AUTO,"Houston South, TX",2018 INFINITI Q50 3.0t Sedan,https://pictures.dealer.com/h/hertzcarsaleshoustongulffwy/1167/00b923073b54cdcc0f2749b5549014efx.jpg
24,2018 INFINITI Q50 3.0t Sedan,Q50,"25,979",Gasoline,"50,734",AUTO,"Charlotte, NC",2018 INFINITI Q50 3.0t Sedan,https://pictures.dealer.com/h/hertzcarsalescharlotte/1768/b9e8ddf7cdfad7329d6bce32df2d2378x.jpg
25,2018 INFINITI Q50 3.0t Sedan,Q50,"26,168",Gasoline,"43,366",AUTO,"Pittsburgh, PA",2018 INFINITI Q50 3.0t Sedan,https://pictures.dealer.com/h/hertzcarsalespittsburghcoraopolis/0097/7dc7f8b3b59cad6b3ac43cd80610a857x.jpg
26,2018 INFINITI QX30 SUV,QX30,"26,257",Gasoline,"66,432",AUTO,"Lynn, MA",2018 INFINITI QX30 SUV,https://pictures.dealer.com/h/hertzcarsaleslynn/1212/c9fd7d69d35b322aa01bad98bf1a3e27x.jpg
27,2017 INFINITI QX60 SUV,QX60,"26,510",Gasoline,"59,344",AUTO,"Bedford, TX",2017 INFINITI QX60 SUV,https://pictures.dealer.com/h/hertzcarsalesirving/1259/36b1fb2d03cd0bae43d47b5a46838388x.jpg
28,2018 INFINITI Q50 3.0t Sedan,Q50,"26,660",Gasoline,"47,265",AUTO,"Bonita Springs, FL",2018 INFINITI Q50 3.0t Sedan,https://pictures.dealer.com/h/hertzcarsalesestero/1312/f92664bd56bdceb99870a0ce988d9434x.jpg
29,2018 INFINITI QX60 SUV,QX60,"26,700",Gasoline,"65,036",AUTO,"Ventura, CA",2018 INFINITI QX60 SUV,https://pictures.dealer.com/h/hertzcarsalesventura/1171/4614dff273155207202334260bf69afax.jpg
30,2020 INFINITI QX60 PURE SUV,QX60,"26,793",Gasoline,"61,594",AUTO,"Inglewood, CA",2020 INFINITI QX60 PURE SUV,https://pictures.dealer.com/h/hertzcarsalesanaheim/1040/286871401a72d56c738fda35cd259cdfx.jpg
31,2020 INFINITI QX60 PURE SUV,QX60,"27,100",Gasoline,"57,908",AUTO,"Crystal Lake, IL",2020 INFINITI QX60 PURE SUV,https://pictures.dealer.com/h/hertzcarsaleslakeinthehills/0255/fe44f539df563581b47edb8197dd895ex.jpg
32,2020 INFINITI QX60 PURE SUV,QX60,"27,200",Gasoline,"59,425",AUTO,"Scottsdale, AZ",2020 INFINITI QX60 PURE SUV,https://pictures.dealer.com/h/hertzcarsalesscottsdale/1016/7e89c658559195ea3b56b748ead42b33x.jpg
33,2020 INFINITI QX60 PURE SUV,QX60,"27,250",Gasoline,"54,540",AUTO,"Bell Road, AZ",2020 INFINITI QX60 PURE SUV,https://pictures.dealer.com/h/hertzcarsalesnorthphoenix/1362/ff27a94422d2b39edcf173d66efa3e59x.jpg
34,2020 INFINITI QX60 PURE SUV,QX60,"27,300",Gasoline,"58,874",AUTO,"Crystal Lake, IL",2020 INFINITI QX60 PURE SUV,https://pictures.dealer.com/h/hertzcarsaleslakeinthehills/1695/cb85120a0bed7f839507984161523359x.jpg
35,2020 INFINITI QX60 PURE SUV,QX60,"27,594",Gasoline,"58,920",AUTO,"Denver, CO",2020 INFINITI QX60 PURE SUV,https://pictures.dealer.com/h/hertzcarsalesdenver/1094/8f8cd1aa802adc5b2bc739a2c6330eecx.jpg
36,2020 INFINITI QX50 SUV,QX50,"35,592",Gasoline,"57,440",AUTO,"Morrow, GA",2020 INFINITI QX50 SUV,https://pictures.dealer.com/h/hcsatlantahertz/1873/6073b60bf46647728f1dbfb24c2f4a44x.jpg
37,2019 INFINITI QX60 SUV,QX60,"22,888",Gasoline,"94,481",AUTO,"Clearwater, FL",2019 INFINITI QX60 SUV,https://pictures.dealer.com/h/hertzcarsalesclearwater/1715/89b8c9d063a9be776bcfb5669ec53409x.jpg
38,2018 INFINITI QX30 Premium SUV,QX30,"24,000",Gasoline,"57,779",AUTO,"Bell Road, AZ",2018 INFINITI QX30 Premium SUV,https://pictures.dealer.com/h/hertzcarsalesnorthphoenix/1253/827cac56f5ca9533144e4ddea7812989x.jpg
39,2017 INFINITI QX60 SUV,QX60,"25,296",Gasoline,"58,212",AUTO,"Las Vegas, NV",2017 INFINITI QX60 SUV,https://pictures.dealer.com/h/hertzcarsaleslasvegas/1876/6739b0c7580413e1b3b33bd007b0a231x.jpg
40,2018 INFINITI Q50 3.0t Sedan,Q50,"25,698",Gasoline,"51,586",AUTO,"Kearny Mesa, CA",2018 INFINITI Q50 3.0t Sedan,https://pictures.dealer.com/h/hertzcarsalessandiego/0750/926a89ddf4660f71006ac0ab5b2e29f9x.jpg
41,2018 INFINITI Q50 3.0t Sedan,Q50,"25,845",Gasoline,"52,699",AUTO,"Houston South, TX",2018 INFINITI Q50 3.0t Sedan,https://pictures.dealer.com/h/hertzcarsaleshoustongulffwy/1167/00b923073b54cdcc0f2749b5549014efx.jpg
42,2018 INFINITI Q50 3.0t Sedan,Q50,"25,979",Gasoline,"50,734",AUTO,"Charlotte, NC",2018 INFINITI Q50 3.0t Sedan,https://pictures.dealer.com/h/hertzcarsalescharlotte/1768/b9e8ddf7cdfad7329d6bce32df2d2378x.jpg
43,2018 INFINITI Q50 3.0t Sedan,Q50,"26,168",Gasoline,"43,366",AUTO,"Pittsburgh, PA",2018 INFINITI Q50 3.0t Sedan,https://pictures.dealer.com/h/hertzcarsalespittsburghcoraopolis/0097/7dc7f8b3b59cad6b3ac43cd80610a857x.jpg
44,2018 INFINITI QX30 SUV,QX30,"26,257",Gasoline,"66,432",AUTO,"Lynn, MA",2018 INFINITI QX30 SUV,https://pictures.dealer.com/h/hertzcarsaleslynn/1212/c9fd7d69d35b322aa01bad98bf1a3e27x.jpg
45,2017 INFINITI QX60 SUV,QX60,"26,510",Gasoline,"59,344",AUTO,"Bedford, TX",2017 INFINITI QX60 SUV,https://pictures.dealer.com/h/hertzcarsalesirving/1259/36b1fb2d03cd0bae43d47b5a46838388x.jpg
46,2018 INFINITI Q50 3.0t Sedan,Q50,"26,660",Gasoline,"47,265",AUTO,"Bonita Springs, FL",2018 INFINITI Q50 3.0t Sedan,https://pictures.dealer.com/h/hertzcarsalesestero/1312/f92664bd56bdceb99870a0ce988d9434x.jpg
47,2018 INFINITI QX60 SUV,QX60,"26,700",Gasoline,"65,036",AUTO,"Ventura, CA",2018 INFINITI QX60 SUV,https://pictures.dealer.com/h/hertzcarsalesventura/1171/4614dff273155207202334260bf69afax.jpg
48,2020 INFINITI QX60 PURE SUV,QX60,"26,793",Gasoline,"61,594",AUTO,"Inglewood, CA",2020 INFINITI QX60 PURE SUV,https://pictures.dealer.com/h/hertzcarsalesanaheim/1040/286871401a72d56c738fda35cd259cdfx.jpg
49,2020 INFINITI QX60 PURE SUV,QX60,"27,100",Gasoline,"57,908",AUTO,"Crystal Lake, IL",2020 INFINITI QX60 PURE SUV,https://pictures.dealer.com/h/hertzcarsaleslakeinthehills/0255/fe44f539df563581b47edb8197dd895ex.jpg
50,2020 INFINITI QX60 PURE SUV,QX60,"27,200",Gasoline,"59,425",AUTO,"Scottsdale, AZ",2020 INFINITI QX60 PURE SUV,https://pictures.dealer.com/h/hertzcarsalesscottsdale/1016/7e89c658559195ea3b56b748ead42b33x.jpg
51,2020 INFINITI QX60 PURE SUV,QX60,"27,250",Gasoline,"54,540",AUTO,"Bell Road, AZ",2020 INFINITI QX60 PURE SUV,https://pictures.dealer.com/h/hertzcarsalesnorthphoenix/1362/ff27a94422d2b39edcf173d66efa3e59x.jpg
52,2020 INFINITI QX60 PURE SUV,QX60,"27,300",Gasoline,"58,874",AUTO,"Crystal Lake, IL",2020 INFINITI QX60 PURE SUV,https://pictures.dealer.com/h/hertzcarsaleslakeinthehills/1695/cb85120a0bed7f839507984161523359x.jpg
53,2020 INFINITI QX60 PURE SUV,QX60,"27,594",Gasoline,"58,920",AUTO,"Denver, CO",2020 INFINITI QX60 PURE SUV,https://pictures.dealer.com/h/hertzcarsalesdenver/1094/8f8cd1aa802adc5b2bc739a2c6330eecx.jpg
54,2020 INFINITI QX50 SUV,QX50,"35,592",Gasoline,"57,440",AUTO,"Morrow, GA",2020 INFINITI QX50 SUV,https://pictures.dealer.com/h/hcsatlantahertz/1873/6073b60bf46647728f1dbfb24c2f4a44x.jpg
55,2019 INFINITI QX60 SUV,QX60,"22,888",Gasoline,"94,481",AUTO,"Clearwater, FL",2019 INFINITI QX60 SUV,https://pictures.dealer.com/h/hertzcarsalesclearwater/1715/89b8c9d063a9be776bcfb5669ec53409x.jpg
56,2018 INFINITI QX30 Premium SUV,QX30,"24,000",Gasoline,"57,779",AUTO,"Bell Road, AZ",2018 INFINITI QX30 Premium SUV,https://pictures.dealer.com/h/hertzcarsalesnorthphoenix/1253/827cac56f5ca9533144e4ddea7812989x.jpg
57,2017 INFINITI QX60 SUV,QX60,"25,296",Gasoline,"58,212",AUTO,"Las Vegas, NV",2017 INFINITI QX60 SUV,https://pictures.dealer.com/h/hertzcarsaleslasvegas/1876/6739b0c7580413e1b3b33bd007b0a231x.jpg
58,2018 INFINITI Q50 3.0t Sedan,Q50,"25,698",Gasoline,"51,586",AUTO,"Kearny Mesa, CA",2018 INFINITI Q50 3.0t Sedan,https://pictures.dealer.com/h/hertzcarsalessandiego/0750/926a89ddf4660f71006ac0ab5b2e29f9x.jpg
59,2018 INFINITI Q50 3.0t Sedan,Q50,"25,845",Gasoline,"52,699",AUTO,"Houston South, TX",2018 INFINITI Q50 3.0t Sedan,https://pictures.dealer.com/h/hertzcarsaleshoustongulffwy/1167/00b923073b54cdcc0f2749b5549014efx.jpg
60,2018 INFINITI Q50 3.0t Sedan,Q50,"25,979",Gasoline,"50,734",AUTO,"Charlotte, NC",2018 INFINITI Q50 3.0t Sedan,https://pictures.dealer.com/h/hertzcarsalescharlotte/1768/b9e8ddf7cdfad7329d6bce32df2d2378x.jpg
61,2018 INFINITI Q50 3.0t Sedan,Q50,"26,168",Gasoline,"43,366",AUTO,"Pittsburgh, PA",2018 INFINITI Q50 3.0t Sedan,https://pictures.dealer.com/h/hertzcarsalespittsburghcoraopolis/0097/7dc7f8b3b59cad6b3ac43cd80610a857x.jpg
62,2018 INFINITI QX30 SUV,QX30,"26,257",Gasoline,"66,432",AUTO,"Lynn, MA",2018 INFINITI QX30 SUV,https://pictures.dealer.com/h/hertzcarsaleslynn/1212/c9fd7d69d35b322aa01bad98bf1a3e27x.jpg
63,2017 INFINITI QX60 SUV,QX60,"26,510",Gasoline,"59,344",AUTO,"Bedford, TX",2017 INFINITI QX60 SUV,https://pictures.dealer.com/h/hertzcarsalesirving/1259/36b1fb2d03cd0bae43d47b5a46838388x.jpg
64,2018 INFINITI Q50 3.0t Sedan,Q50,"26,660",Gasoline,"47,265",AUTO,"Bonita Springs, FL",2018 INFINITI Q50 3.0t Sedan,https://pictures.dealer.com/h/hertzcarsalesestero/1312/f92664bd56bdceb99870a0ce988d9434x.jpg
65,2018 INFINITI QX60 SUV,QX60,"26,700",Gasoline,"65,036",AUTO,"Ventura, CA",2018 INFINITI QX60 SUV,https://pictures.dealer.com/h/hertzcarsalesventura/1171/4614dff273155207202334260bf69afax.jpg
66,2020 INFINITI QX60 PURE SUV,QX60,"26,793",Gasoline,"61,594",AUTO,"Inglewood, CA",2020 INFINITI QX60 PURE SUV,https://pictures.dealer.com/h/hertzcarsalesanaheim/1040/286871401a72d56c738fda35cd259cdfx.jpg
67,2020 INFINITI QX60 PURE SUV,QX60,"27,100",Gasoline,"57,908",AUTO,"Crystal Lake, IL",2020 INFINITI QX60 PURE SUV,https://pictures.dealer.com/h/hertzcarsaleslakeinthehills/0255/fe44f539df563581b47edb8197dd895ex.jpg
68,2020 INFINITI QX60 PURE SUV,QX60,"27,200",Gasoline,"59,425",AUTO,"Scottsdale, AZ",2020 INFINITI QX60 PURE SUV,https://pictures.dealer.com/h/hertzcarsalesscottsdale/1016/7e89c658559195ea3b56b748ead42b33x.jpg
69,2020 INFINITI QX60 PURE SUV,QX60,"27,250",Gasoline,"54,540",AUTO,"Bell Road, AZ",2020 INFINITI QX60 PURE SUV,https://pictures.dealer.com/h/hertzcarsalesnorthphoenix/1362/ff27a94422d2b39edcf173d66efa3e59x.jpg
70,2020 INFINITI QX60 PURE SUV,QX60,"27,300",Gasoline,"58,874",AUTO,"Crystal Lake, IL",2020 INFINITI QX60 PURE SUV,https://pictures.dealer.com/h/hertzcarsaleslakeinthehills/1695/cb85120a0bed7f839507984161523359x.jpg
71,2020 INFINITI QX60 PURE SUV,QX60,"27,594",Gasoline,"58,920",AUTO,"Denver, CO",2020 INFINITI QX60 PURE SUV,https://pictures.dealer.com/h/hertzcarsalesdenver/1094/8f8cd1aa802adc5b2bc739a2c6330eecx.jpg
72,2020 INFINITI QX50 SUV,QX50,"35,592",Gasoline,"57,440",AUTO,"Morrow, GA",2020 INFINITI QX50 SUV,https://pictures.dealer.com/h/hcsatlantahertz/1873/6073b60bf46647728f1dbfb24c2f4a44x.jpg
73,2019 INFINITI QX60 SUV,QX60,"22,888",Gasoline,"94,481",AUTO,"Clearwater, FL",2019 INFINITI QX60 SUV,https://pictures.dealer.com/h/hertzcarsalesclearwater/1715/89b8c9d063a9be776bcfb5669ec53409x.jpg
74,2018 INFINITI QX30 Premium SUV,QX30,"24,000",Gasoline,"57,779",AUTO,"Bell Road, AZ",2018 INFINITI QX30 Premium SUV,https://pictures.dealer.com/h/hertzcarsalesnorthphoenix/1253/827cac56f5ca9533144e4ddea7812989x.jpg
75,2017 INFINITI QX60 SUV,QX60,"25,296",Gasoline,"58,212",AUTO,"Las Vegas, NV",2017 INFINITI QX60 SUV,https://pictures.dealer.com/h/hertzcarsaleslasvegas/1876/6739b0c7580413e1b3b33bd007b0a231x.jpg
76,2018 INFINITI Q50 3.0t Sedan,Q50,"25,698",Gasoline,"51,586",AUTO,"Kearny Mesa, CA",2018 INFINITI Q50 3.0t Sedan,https://pictures.dealer.com/h/hertzcarsalessandiego/0750/926a89ddf4660f71006ac0ab5b2e29f9x.jpg
77,2018 INFINITI Q50 3.0t Sedan,Q50,"25,845",Gasoline,"52,699",AUTO,"Houston South, TX",2018 INFINITI Q50 3.0t Sedan,https://pictures.dealer.com/h/hertzcarsaleshoustongulffwy/1167/00b923073b54cdcc0f2749b5549014efx.jpg
78,2018 INFINITI Q50 3.0t Sedan,Q50,"25,979",Gasoline,"50,734",AUTO,"Charlotte, NC",2018 INFINITI Q50 3.0t Sedan,https://pictures.dealer.com/h/hertzcarsalescharlotte/1768/b9e8ddf7cdfad7329d6bce32df2d2378x.jpg
79,2018 INFINITI Q50 3.0t Sedan,Q50,"26,168",Gasoline,"43,366",AUTO,"Pittsburgh, PA",2018 INFINITI Q50 3.0t Sedan,https://pictures.dealer.com/h/hertzcarsalespittsburghcoraopolis/0097/7dc7f8b3b59cad6b3ac43cd80610a857x.jpg
80,2018 INFINITI QX30 SUV,QX30,"26,257",Gasoline,"66,432",AUTO,"Lynn, MA",2018 INFINITI QX30 SUV,https://pictures.dealer.com/h/hertzcarsaleslynn/1212/c9fd7d69d35b322aa01bad98bf1a3e27x.jpg
81,2017 INFINITI QX60 SUV,QX60,"26,510",Gasoline,"59,344",AUTO,"Bedford, TX",2017 INFINITI QX60 SUV,https://pictures.dealer.com/h/hertzcarsalesirving/1259/36b1fb2d03cd0bae43d47b5a46838388x.jpg
82,2018 INFINITI Q50 3.0t Sedan,Q50,"26,660",Gasoline,"47,265",AUTO,"Bonita Springs, FL",2018 INFINITI Q50 3.0t Sedan,https://pictures.dealer.com/h/hertzcarsalesestero/1312/f92664bd56bdceb99870a0ce988d9434x.jpg
83,2018 INFINITI QX60 SUV,QX60,"26,700",Gasoline,"65,036",AUTO,"Ventura, CA",2018 INFINITI QX60 SUV,https://pictures.dealer.com/h/hertzcarsalesventura/1171/4614dff273155207202334260bf69afax.jpg
84,2020 INFINITI QX60 PURE SUV,QX60,"26,793",Gasoline,"61,594",AUTO,"Inglewood, CA",2020 INFINITI QX60 PURE SUV,https://pictures.dealer.com/h/hertzcarsalesanaheim/1040/286871401a72d56c738fda35cd259cdfx.jpg
85,2020 INFINITI QX60 PURE SUV,QX60,"27,100",Gasoline,"57,908",AUTO,"Crystal Lake, IL",2020 INFINITI QX60 PURE SUV,https://pictures.dealer.com/h/hertzcarsaleslakeinthehills/0255/fe44f539df563581b47edb8197dd895ex.jpg
86,2020 INFINITI QX60 PURE SUV,QX60,"27,200",Gasoline,"59,425",AUTO,"Scottsdale, AZ",2020 INFINITI QX60 PURE SUV,https://pictures.dealer.com/h/hertzcarsalesscottsdale/1016/7e89c658559195ea3b56b748ead42b33x.jpg
87,2020 INFINITI QX60 PURE SUV,QX60,"27,250",Gasoline,"54,540",AUTO,"Bell Road, AZ",2020 INFINITI QX60 PURE SUV,https://pictures.dealer.com/h/hertzcarsalesnorthphoenix/1362/ff27a94422d2b39edcf173d66efa3e59x.jpg
88,2020 INFINITI QX60 PURE SUV,QX60,"27,300",Gasoline,"58,874",AUTO,"Crystal Lake, IL",2020 INFINITI QX60 PURE SUV,https://pictures.dealer.com/h/hertzcarsaleslakeinthehills/1695/cb85120a0bed7f839507984161523359x.jpg
89,2020 INFINITI QX60 PURE SUV,QX60,"27,594",Gasoline,"58,920",AUTO,"Denver, CO",2020 INFINITI QX60 PURE SUV,https://pictures.dealer.com/h/hertzcarsalesdenver/1094/8f8cd1aa802adc5b2bc739a2c6330eecx.jpg
90,2020 INFINITI QX50 SUV,QX50,"35,592",Gasoline,"57,440",AUTO,"Morrow, GA",2020 INFINITI QX50 SUV,https://pictures.dealer.com/h/hcsatlantahertz/1873/6073b60bf46647728f1dbfb24c2f4a44x.jpg
91,2019 INFINITI QX60 SUV,QX60,"22,888",Gasoline,"94,481",AUTO,"Clearwater, FL",2019 INFINITI QX60 SUV,https://pictures.dealer.com/h/hertzcarsalesclearwater/1715/89b8c9d063a9be776bcfb5669ec53409x.jpg
92,2018 INFINITI QX30 Premium SUV,QX30,"24,000",Gasoline,"57,779",AUTO,"Bell Road, AZ",2018 INFINITI QX30 Premium SUV,https://pictures.dealer.com/h/hertzcarsalesnorthphoenix/1253/827cac56f5ca9533144e4ddea7812989x.jpg
93,2017 INFINITI QX60 SUV,QX60,"25,296",Gasoline,"58,212",AUTO,"Las Vegas, NV",2017 INFINITI QX60 SUV,https://pictures.dealer.com/h/hertzcarsaleslasvegas/1876/6739b0c7580413e1b3b33bd007b0a231x.jpg
94,2018 INFINITI Q50 3.0t Sedan,Q50,"25,698",Gasoline,"51,586",AUTO,"Kearny Mesa, CA",2018 INFINITI Q50 3.0t Sedan,https://pictures.dealer.com/h/hertzcarsalessandiego/0750/926a89ddf4660f71006ac0ab5b2e29f9x.jpg
95,2018 INFINITI Q50 3.0t Sedan,Q50,"25,845",Gasoline,"52,699",AUTO,"Houston South, TX",2018 INFINITI Q50 3.0t Sedan,https://pictures.dealer.com/h/hertzcarsaleshoustongulffwy/1167/00b923073b54cdcc0f2749b5549014efx.jpg
96,2018 INFINITI Q50 3.0t Sedan,Q50,"25,979",Gasoline,"50,734",AUTO,"Charlotte, NC",2018 INFINITI Q50 3.0t Sedan,https://pictures.dealer.com/h/hertzcarsalescharlotte/1768/b9e8ddf7cdfad7329d6bce32df2d2378x.jpg
97,2018 INFINITI Q50 3.0t Sedan,Q50,"26,168",Gasoline,"43,366",AUTO,"Pittsburgh, PA",2018 INFINITI Q50 3.0t Sedan,https://pictures.dealer.com/h/hertzcarsalespittsburghcoraopolis/0097/7dc7f8b3b59cad6b3ac43cd80610a857x.jpg
98,2018 INFINITI QX30 SUV,QX30,"26,257",Gasoline,"66,432",AUTO,"Lynn, MA",2018 INFINITI QX30 SUV,https://pictures.dealer.com/h/hertzcarsaleslynn/1212/c9fd7d69d35b322aa01bad98bf1a3e27x.jpg
99,2017 INFINITI QX60 SUV,QX60,"26,510",Gasoline,"59,344",AUTO,"Bedford, TX",2017 INFINITI QX60 SUV,https://pictures.dealer.com/h/hertzcarsalesirving/1259/36b1fb2d03cd0bae43d47b5a46838388x.jpg
100,2018 INFINITI Q50 3.0t Sedan,Q50,"26,660",Gasoline,"47,265",AUTO,"Bonita Springs, FL",2018 INFINITI Q50 3.0t Sedan,https://pictures.dealer.com/h/hertzcarsalesestero/1312/f92664bd56bdceb99870a0ce988d9434x.jpg
101,2018 INFINITI QX60 SUV,QX60,"26,700",Gasoline,"65,036",AUTO,"Ventura, CA",2018 INFINITI QX60 SUV,https://pictures.dealer.com/h/hertzcarsalesventura/1171/4614dff273155207202334260bf69afax.jpg
102,2020 INFINITI QX60 PURE SUV,QX60,"26,793",Gasoline,"61,594",AUTO,"Inglewood, CA",2020 INFINITI QX60 PURE SUV,https://pictures.dealer.com/h/hertzcarsalesanaheim/1040/286871401a72d56c738fda35cd259cdfx.jpg
103,2020 INFINITI QX60 PURE SUV,QX60,"27,100",Gasoline,"57,908",AUTO,"Crystal Lake, IL",2020 INFINITI QX60 PURE SUV,https://pictures.dealer.com/h/hertzcarsaleslakeinthehills/0255/fe44f539df563581b47edb8197dd895ex.jpg
104,2020 INFINITI QX60 PURE SUV,QX60,"27,200",Gasoline,"59,425",AUTO,"Scottsdale, AZ",2020 INFINITI QX60 PURE SUV,https://pictures.dealer.com/h/hertzcarsalesscottsdale/1016/7e89c658559195ea3b56b748ead42b33x.jpg
